cid,class,year,metamer_rank,number_ramif,ramif_class
17110,I,99,2,0,B
17085,I,98,1,0,B
17024,I,97,1,1,W
17127,W,97,0,0,B
17127,W,97,1,0,B
17127,W,97,2,1,D
17132,D,98,0,0,B
17134,D,99,0,0,B
17127,W,97,3,0,B
17127,W,97,4,0,B
17127,W,97,5,0,B
17127,W,97,6,0,B
17127,W,97,7,0,B
17127,W,97,8,1,D
17143,I,98,0,1,D
17145,D,98,0,0,B
17147,D,99,0,0,B
17127,W,97,9,0,B
17151,I,98,0,0,B
17127,W,97,10,1,D
17155,I,98,0,1,D
17157,D,98,0,0,B
17159,D,99,0,0,B
17127,W,97,11,0,B
17163,I,98,0,0,B
17163,I,98,1,0,B
17163,I,98,1,0,B
17127,W,97,12,1,D
17169,I,98,0,1,D
17171,D,98,0,0,B
17173,D,99,0,0,B
17169,I,98,1,0,B
17127,W,97,13,1,D
17178,I,98,0,1,D
17181,D,99,0,0,B
17127,W,97,14,0,B
17184,I,98,0,1,D
17187,D,98,0,0,B
17189,D,99,0,0,B
17184,I,98,1,1,W
17192,W,98,0,0,B
17192,W,98,1,0,B
17192,W,98,2,1,D
17197,D,99,0,0,B
17192,W,98,3,1,D
17201,D,99,0,0,B
17192,W,98,4,1,D
17205,D,99,0,0,B
17192,W,98,5,0,B
17208,W,99,0,0,B
17208,W,99,1,0,B
17208,W,99,2,0,B
17208,W,99,3,0,B
17208,W,99,4,0,B
17208,W,99,5,0,B
17208,W,99,6,0,B
17208,W,99,7,0,B
17208,W,99,8,0,B
17208,W,99,9,0,B
17208,W,99,10,0,B
17208,W,99,11,0,B
17208,W,99,12,0,B
17208,W,99,13,0,B
17208,W,99,14,0,B
17208,W,99,15,0,B
17208,W,99,16,0,B
15265,U,95,37,1,U
17228,U,96,0,0,B
17228,U,96,1,0,B
17228,U,96,2,0,B
17228,U,96,3,0,B
17228,U,96,4,0,B
17228,U,96,5,0,B
17228,U,96,6,0,B
17228,U,96,7,0,B
17228,U,96,8,1,D
17239,I,97,0,1,D
17241,D,97,0,0,B
17243,I,98,0,1,D
17245,D,98,0,0,B
17247,I,99,0,1,D
17250,D,99,0,0,B
17247,I,99,1,1,D
17254,D,99,0,0,B
17228,U,96,9,1,D
17258,I,97,0,1,D
17260,D,97,0,0,B
17262,I,98,0,1,D
17264,D,98,0,0,B
17266,I,99,0,1,D
17269,D,99,0,0,B
17266,I,99,1,1,D
17273,D,99,0,0,B
17228,U,96,10,0,B
17228,U,96,11,1,D
17278,I,97,0,1,D
17280,D,97,0,0,B
17282,I,98,0,1,D
17284,D,98,0,0,B
17286,I,99,0,1,D
17288,D,99,0,0,B
17228,U,96,12,1,D
17292,I,97,0,1,D
17294,D,97,0,0,B
17228,U,96,13,2,D
17298,I,97,0,1,D
17301,D,97,0,0,B
17303,I,98,0,1,D
17305,D,98,0,0,B
17307,I,99,0,1,D
17310,D,99,0,0,B
17307,I,99,1,1,D
17314,D,99,0,0,B
17307,I,99,2,0,B
17298,I,97,1,1,D
17318,D,97,0,0,B
17320,I,98,0,1,D
17322,D,98,0,0,B
17324,I,99,0,1,D
17327,D,99,0,0,B
17324,I,99,1,1,D
17331,D,99,0,0,B
17324,I,99,2,0,B
17320,I,98,1,0,B
17228,U,96,14,1,D
17337,I,97,0,1,D
17339,D,97,0,0,B
17341,I,98,0,1,D
17343,D,98,0,0,B
