name;col;row;treatment;volume;diameter;height;estimated_leaf_area;STAR;max_excentricity
X9191;5;53;WW;5.369371397;2.977082473;2.358328804;6.309373953;0.659447382;0.423054223
X9191;6;31;WD;2.980783865;1.371203928;2.064739087;5.952971712;0.402882173;0.217512974
X9191;6;53;WD;3.272601788;1.467324103;2.082867408;3.993961829;0.845455724;0.45637892
X9202;6;32;WD;3.039205234;1.339085672;1.699068909;4.219776865;0.506912489;0.360765609
X9202;7;91;WW;3.305049767;1.375956694;2.62012459;3.90637872;0.76758442;0.434178687
X9202;8;91;WD;2.782283084;1.204862891;1.951043368;4.126433207;0.621098036;0.495114633
X9234;5;33;WW;3.764307065;1.22713851;2.212990404;7.452134121;0.46004344;0.300080469
X9234;6;33;WD;2.392345162;1.254061697;1.928330384;3.194284892;0.510070152;0.234309123
X9234;9;34;WW;3.219142188;1.209366976;2.094405879;3.883274578;0.596714974;0.58577526
X9246;5;34;WW;2.389779826;1.082471647;2.436846278;2.985858736;0.77205233;0.475713328
X9246;6;34;WD;2.767222685;0.911522729;2.451947251;4.089844553;0.693471044;0.439928571
X9246;9;60;WW;2.707801017;1.031906147;2.392622809;3.568560573;0.788760979;0.564837707
X9246;10;60;WD;2.092927618;1.084644307;2.165387758;2.865878589;0.774632025;0.225758369
X9250;5;35;WW;3.195815251;1.388053299;2.371680533;2.797539267;1.021331242;0.534775402
X9250;5;86;WW;3.337214388;1.219196732;2.026314701;3.70731704;0.656867575;0.380716997
X9250;6;35;WD;2.487320361;0.865187413;2.317404988;5.178091091;0.410589786;0.288862159
X9251;5;36;WW;4.135896101;1.638911454;2.605184121;5.331386638;0.68162529;0.364335913
X9251;6;36;WD;2.986727402;1.3099389;2.037382117;4.599810465;0.602163747;0.348670476
X9251;9;93;WW;2.95004797;1.109099086;2.121617555;3.897238071;0.580983413;0.348033349
X9251;10;93;WD;2.922569695;1.290481449;2.259018857;3.518960887;0.706572479;0.5123673
X9252;5;37;WW;4.143508759;1.649726752;2.258727037;4.660926586;0.647948793;0.330550149
X9252;6;37;WD;4.483567537;2.034926516;2.132962372;4.040221222;0.788900959;0.63221943
X9252;7;28;WW;4.312402043;1.156573118;2.360760422;5.051974992;0.65125578;0.612255248
X9252;8;28;WD;4.114413513;1.703441675;1.805484314;4.621819183;0.699988527;0.624890293
