,Area,Area_leaf,Ei,Ei_leaf,delta_angle_top,incli_top,isolated,phyllotactic_angle,phyllotactic_deviation,plant_height,plant_orientation,rmax,skew,wl
1147,0.7977464189,0.6963860227,0.565030253979,0.605888430807,238.913782763,0.2255450496,1.0,15.4876684338,88.6579484306,212.312114111,49.2426226874,0.728753431742,0.589291301745,0.328983813676
1148,0.7541145123,0.69652728,0.528685238286,0.549992163411,103.976638855,36.9256826509,1.0,22.9668396086,48.0559763751,115.97538786,60.1263388341,0.630387381449,0.906856654143,0.280204016774
1149,0.7252262645,0.6963754247,0.403934738009,0.412343232364,122.10832719,71.4025099775,1.0,24.1683173809,38.4493234653,52.5358397855,14.4596262002,0.785705458185,0.0608073830057,0.28926346124
1150,0.7630548186,0.6963575986,0.548994654949,0.577232772095,157.407745001,60.980471738,1.0,85.8934227433,52.8967600798,136.032973606,19.6082468426,0.296423809157,0.318540904498,0.37869236501
1151,0.7381760769,0.6963663812,0.529102946949,0.547907570168,244.024843389,21.4085635572,1.0,101.491814302,33.8943958192,81.2046260952,2.49136469774,0.126697428652,0.586054913798,0.226223616002
1152,0.7875799963,0.6963965805,0.593476972385,0.629600133757,205.332763263,27.4712668734,1.0,5.96827823652,5.49530253432,189.920475588,70.8759313277,0.450263912249,0.710438230142,0.0699753488249
1153,0.798173262,0.6964385047,0.618324638331,0.66664898999,235.393773392,51.5633617258,1.0,158.035044675,65.6744448501,213.136682348,70.7332331413,0.43999403893,0.36427962932,0.356127982626
1154,0.8169911617,0.6964150172,0.638471631813,0.694877384252,72.561861531,26.8911148286,1.0,99.2362634297,26.2781891439,254.586857242,1.17599768783,0.645231910592,0.638240198353,0.301339031287
1155,0.8171480903,0.6964474418,0.567975475779,0.613180099038,186.989836256,5.73849286853,1.0,37.1012597508,77.3842213383,254.864865273,19.5841393654,0.145429737843,0.561529495345,0.351613789665
1156,0.7789323279,0.6963582579,0.555371395139,0.587537519789,57.5933147027,24.9192801034,1.0,44.4655607904,45.7411671351,170.976390204,30.9380122407,0.568412667516,0.0588000813331,0.438939635186
1157,0.7950732969,0.6965028554,0.686136407529,0.740201994453,170.90721578,33.51641397,1.0,139.115809205,54.4029150484,206.174506628,73.6944639636,0.688250123549,0.241855107521,0.191279050156
1158,0.7843075725,0.6962970083,0.726235143275,0.778263027638,70.2885697778,64.7845562988,1.0,54.4367750828,57.8211307771,182.940066942,39.3468571857,0.415826887637,0.423483867282,0.0841144356368
