,Area,Area_leaf,Ei,Ei_leaf,delta_angle_top,incli_top,isolated,phyllotactic_angle,phyllotactic_deviation,plant_height,plant_orientation,rmax,skew,wl
5722,0.8012506435,0.6965496439,0.129791222964,0.142880129242,103.925149281,19.1949074666,0.0,25.4969544871,23.6548758619,219.662657424,66.1085895207,0.464549777994,0.931886992718,0.208719670962
5723,0.7408970182,0.6965383976,0.146133177351,0.15440709763,104.088405316,14.537829445,0.0,73.9358346228,11.1011509461,86.8268017888,9.04378413166,0.679510372494,0.287345554118,0.0698234218684
5724,0.7704917512,0.6965655333,0.113110036998,0.116570962924,106.44643971,50.5377355136,0.0,10.8011705146,0.503509933801,151.945054531,85.0855542728,0.102178285533,0.302287525493,0.399091442233
5725,0.8182426668,0.696366207,0.132310796053,0.147608854987,27.907830564,37.5573379761,0.0,94.9991639262,73.9137309562,257.449606694,13.106714845,0.738845078521,0.724278300934,0.43976909386
5726,0.7966030142,0.6960935295,0.129160146179,0.142740676606,4.89084736576,10.2110524165,0.0,52.6155894791,19.0520819201,210.440977751,59.1636198348,0.509195200241,0.678514168373,0.339904005433
5727,0.7296599518,0.6964512549,0.135152094528,0.140645712562,217.814577644,63.0481828939,0.0,33.9516107514,80.2842116699,62.2018849408,54.3591804756,0.789689263415,0.883696950108,0.28483734877
5728,0.7722611173,0.6962538589,0.14365094871,0.146906389503,240.003470447,22.7009519507,0.0,77.9277406457,83.1613391078,156.525141984,81.2028599721,0.289469604426,0.0528087243166,0.0582668850682
5729,0.7659192815,0.6962351673,0.136978772323,0.146048696544,160.157486124,74.4782221466,0.0,59.2635699088,67.335439921,142.607773293,66.4669843412,0.174525690097,0.525431245393,0.397766605043
5730,0.7868494039,0.6964929206,0.136207207766,0.15032028069,124.707649436,2.03384009994,0.0,130.889680198,27.4600719807,188.100953935,79.7174490476,0.890595143677,0.930726977339,0.211067857807
5731,0.8035799894,0.6964769478,0.132015129444,0.145945089362,67.1942708776,5.08060747743,0.0,55.8736934513,77.8135307351,224.945456089,65.0020054095,0.430602978236,0.93867560753,0.453524695049
5732,0.7773429931,0.696439231,0.143250853966,0.157113668137,138.77236129,46.5657166158,0.0,174.873778421,79.3956921825,167.301362268,16.467788633,0.791345697495,0.471937872059,0.0501567252036
5733,0.8317587469,0.6964820551,0.133408459677,0.151523186195,16.6187799281,29.4932161838,0.0,162.690009066,8.05428076784,286.928676822,56.2927810056,0.703294840449,0.706345011049,0.0761452689818
5734,0.7539171282,0.6965901323,0.147431325091,0.155186315514,93.4073467604,65.7499486311,0.0,133.089534378,76.855305602,115.402172304,48.5700662692,0.492872563435,0.140692977118,0.117521980223
5735,0.743690699,0.6965222376,0.142050411845,0.149130879959,93.2793807199,28.8950472559,0.0,169.620175109,57.5458413416,93.0219691047,67.0595109803,0.199254971457,0.405196264434,0.314237455135
5736,0.7868017125,0.6964172533,0.140767477855,0.151466215974,181.452598134,46.0414762505,0.0,141.400452889,67.7088322837,188.163623942,88.6041496826,0.199700585061,0.558795737213,0.173128476177
5737,0.8320852383,0.6963484983,0.13349360161,0.150635138704,158.925587254,3.82427481024,0.0,117.236362861,57.8751875141,287.93951432,35.1407686197,0.266342397356,0.765796554526,0.133436522443
5738,0.7361663753,0.6964245752,0.136563174814,0.143314488686,193.875017565,54.1356605478,0.0,94.5104012934,71.0685232155,76.6411320551,75.6761175612,0.547942217255,0.409708072604,0.370820344163
5739,0.7603857396,0.6963065524,0.140822331994,0.152542878725,77.4882000946,4.56394641674,0.0,59.5604557951,22.5335561211,130.269871403,67.4469084338,0.767590366814,0.264513029362,0.140638529792
5740,0.7286634736,0.6961320398,0.15161645193,0.158201739287,207.658957101,1.71824593408,0.0,87.6820425913,65.9498314065,60.7021850071,63.247742555,0.354574717849,0.56815309531,0.0440045610877
5741,0.7334615784,0.6963565758,0.146108026498,0.152884773581,31.750937494,26.478060245,0.0,69.8914052779,49.5056655626,70.8181304328,48.706403312,0.604742477805,0.612303478647,0.231007121796
5742,0.8030914423,0.6963471063,0.138294570926,0.15123295282,109.577066592,25.1573469498,0.0,85.3944178588,81.7590788158,224.157612671,81.0450852912,0.261100014077,0.556150268838,0.0930174043985
5743,0.7498953304,0.6963849243,0.128247465841,0.132197383586,151.070288381,61.4498443485,0.0,0.888777316534,69.3776520907,106.996357053,12.2721011299,0.654024615581,0.799293697692,0.182010058082
5744,0.7986090769,0.6964630008,0.124537632249,0.129803368064,64.0445404581,24.5659814856,0.0,3.39186060266,23.412677051,214.040391125,63.3904060773,0.450912770906,0.0753556970767,0.201248478948
5745,0.7274878785,0.6963736091,0.139210347983,0.143583130104,90.3547604592,68.080299887,0.0,83.6784462355,79.217754632,57.561414208,70.8840323858,0.202134395213,0.261224314355,0.384723542014
5746,0.7730521469,0.6965570127,0.118462715892,0.128703046015,112.196370907,27.1445443963,0.0,2.50736537251,13.9605595795,157.598897438,79.3108718863,0.604990842217,0.141572105656,0.368496295189
5747,0.8007628879,0.696483992,0.138436511093,0.152991826286,197.032922278,44.560553798,0.0,158.002630132,54.7611321746,218.732785092,52.6082663379,0.142613801136,0.842248784901,0.0911279510267
5748,0.8260492474,0.6965532817,0.123817751858,0.133994907613,211.886019671,59.6103378024,0.0,138.087941412,3.70930759658,274.210979128,82.2617237576,0.426472417416,0.334275482158,0.447130904876
