cid,class,year,metamer_rank,number_ramif,ramif_class
9867,W,99,2,0,B
9867,W,99,3,0,B
9867,W,99,4,0,B
9864,I,99,1,0,B
9854,I,98,1,0,B
9767,U,96,13,1,D
9877,D,97,0,0,B
9879,I,98,0,1,D
9881,D,98,0,0,B
9767,U,96,14,1,D
9885,D,97,0,0,B
9887,I,98,0,1,D
9890,D,98,0,0,B
9892,I,99,0,1,D
9894,D,99,0,0,B
9887,I,98,1,0,B
9767,U,96,15,1,D
9899,D,97,0,0,B
9901,D,99,0,0,B
9767,U,96,16,0,B
9767,U,96,17,0,B
9767,U,96,18,0,B
9767,U,96,19,0,B
9767,U,96,20,0,B
9767,U,96,21,0,B
9767,U,96,22,0,B
9767,U,96,23,0,B
9767,U,96,24,0,B
9767,U,96,25,1,D
9914,D,97,0,0,B
9767,U,96,26,1,D
9918,D,97,0,0,B
9920,I,98,0,1,D
9922,D,98,0,0,B
9924,I,99,0,1,D
9927,D,99,0,0,B
9924,I,99,1,0,B
9767,U,96,27,1,I
9932,I,97,0,1,D
9934,D,97,0,0,B
9936,I,98,0,1,D
9938,D,98,0,0,B
9940,I,99,0,1,W
9943,W,99,0,0,B
9943,W,99,1,0,B
9943,W,99,2,0,B
9940,I,99,1,0,B
9767,U,96,28,0,B
9767,U,96,29,0,B
9767,U,96,30,0,B
9767,U,96,31,0,B
9952,I,97,0,1,U
9954,U,97,0,0,B
9954,U,97,1,0,B
9954,U,97,2,0,B
9954,U,97,3,1,I
9960,I,98,0,1,D
9963,D,99,0,0,B
9960,I,98,1,0,B
9954,U,97,4,0,B
9954,U,97,5,0,B
9954,U,97,6,1,D
9970,D,98,0,0,B
9972,I,99,0,1,W
9975,W,99,0,0,B
9975,W,99,1,0,B
9975,W,99,2,0,B
9975,W,99,3,0,B
9972,I,99,1,0,B
9954,U,97,7,0,B
9954,U,97,8,1,D
9984,D,98,0,0,B
9954,U,97,9,0,B
9954,U,97,10,0,B
9954,U,97,11,1,D
9990,D,98,0,0,B
9992,D,99,0,0,B
9954,U,97,12,0,B
9954,U,97,13,1,D
9997,D,98,0,0,B
9999,I,99,0,1,D
10001,D,99,0,0,B
9954,U,97,14,1,D
10005,D,99,0,0,B
9954,U,97,15,0,B
9954,U,97,16,0,B
9954,U,97,17,0,B
10010,I,98,0,1,W
10013,W,98,0,0,B
10013,W,98,1,0,B
10013,W,98,2,0,B
10013,W,98,3,0,B
10013,W,98,4,0,B
10013,W,98,5,0,B
10013,W,98,6,0,B
10021,I,99,0,0,B
10021,I,99,1,0,B
10010,I,98,1,1,W
10025,W,98,0,0,B
10025,W,98,1,0,B
10025,W,98,2,0,B
10025,W,98,3,0,B
10025,W,98,4,0,B
10025,W,98,5,0,B
10025,W,98,6,1,D
10034,D,99,0,0,B
10025,W,98,7,1,D
10038,D,99,0,0,B
10025,W,98,8,0,B
10025,W,98,9,0,B
10025,W,98,10,0,B
10025,W,98,11,0,B
10044,I,99,0,1,W
10046,W,99,0,0,B
10046,W,99,1,0,B
10046,W,99,2,0,B
10046,W,99,3,0,B
10046,W,99,4,0,B
10046,W,99,5,0,B
10046,W,99,6,0,B
10046,W,99,7,0,B
10046,W,99,8,0,B
10046,W,99,9,0,B
10044,I,99,1,0,B
10010,I,98,2,0,B
9952,I,97,1,0,B
3,U,94,52,1,I
10062,I,95,0,1,D
10065,D,95,0,0,B
10067,U,96,0,0,B
10067,U,96,1,0,B
10067,U,96,2,0,B
10067,U,96,3,0,B
10067,U,96,4,0,B
10067,U,96,5,0,B
10067,U,96,6,1,D
10076,D,97,0,0,B
10078,D,98,0,0,B
10080,I,99,0,1,W
10082,W,99,0,0,B
10082,W,99,1,0,B
10082,W,99,2,0,B
10082,W,99,3,0,B
10082,W,99,4,0,B
10082,W,99,5,0,B
10082,W,99,6,0,B
10082,W,99,7,0,B
10067,U,96,7,0,B
10067,U,96,8,1,D
10094,D,97,0,0,B
10096,I,98,0,0,B
10096,I,98,1,1,D
10100,D,99,0,0,B
10096,I,98,2,1,D
10104,D,99,0,0,B
10096,I,98,3,0,B
10067,U,96,9,1,D
10109,D,97,0,0,B
10111,D,98,0,0,B
10113,I,99,0,1,D
10115,D,99,0,0,B
10067,U,96,10,1,D
10119,D,97,0,0,B
10121,I,98,0,1,D
10124,D,98,0,0,B
10126,I,99,0,1,D
10128,D,99,0,0,B
10121,I,98,1,0,B
10067,U,96,11,1,W
10133,W,97,0,0,B
10133,W,97,1,0,B
10133,W,97,2,0,B
10133,W,97,3,0,B
10133,W,97,4,0,B
10133,W,97,5,0,B
10133,W,97,6,0,B
10133,W,97,7,0,B
10142,I,98,0,1,W
10145,W,98,0,0,B
10145,W,98,1,0,B
10145,W,98,2,0,B
10145,W,98,3,0,B
10145,W,98,4,0,B
10145,W,98,5,0,B
10145,W,98,6,1,D
10154,D,99,0,0,B
10145,W,98,7,0,B
10145,W,98,8,0,B
10145,W,98,9,0,B
10145,W,98,10,0,B
10160,I,99,0,1,W
10163,W,99,0,0,B
10163,W,99,1,0,B
10163,W,99,2,0,B
10163,W,99,3,0,B
10160,I,99,1,0,B
10142,I,98,1,0,B
10067,U,96,12,1,D
10172,D,97,0,0,B
10174,D,98,0,0,B
10067,U,96,13,1,I
10178,I,97,0,1,D
10180,D,97,0,0,B
10182,I,98,0,1,W
10185,W,98,0,0,B
10185,W,98,1,0,B
10185,W,98,2,0,B
10185,W,98,3,0,B
10185,W,98,4,0,B
10185,W,98,5,0,B
10185,W,98,6,0,B
10185,W,98,7,1,I
10195,I,99,0,0,B
10185,W,98,8,0,B
10185,W,98,9,1,D
10200,D,99,0,0,B
10185,W,98,10,0,B
10203,I,99,0,1,W
10206,W,99,0,0,B
10206,W,99,1,0,B
10206,W,99,2,0,B
10206,W,99,3,0,B
10203,I,99,1,0,B
10182,I,98,1,0,B
10067,U,96,14,1,D
10215,D,97,0,0,B
10217,I,98,0,1,W
10220,W,98,0,0,B
