#Pommier Melgueil Braeburn 64				
CODE :	FORM-A			
CLASSES:				
SYMBOL	SCALE	DECOMPOSITION	INDEXATION	DEFINITION
$ 	0	FREE	FREE	IMPLICIT
P	1	FREE	FREE	EXPLICIT
R	2	PURELINEAR	FREE	IMPLICIT
M	2	PURELINEAR	FREE	IMPLICIT
S	2	PURELINEAR	FREE	IMPLICIT
I	3	FREE	FREE	EXPLICIT
U 	3	FREE	FREE	EXPLICIT
W	3	FREE	FREE	EXPLICIT
D 	3	FREE	FREE	EXPLICIT
E	4	FREE	FREE	EXPLICIT
F	4	FREE	FREE	EXPLICIT

DESCRIPTION :			
LEFT	RIGHT	RELTYPE	MAX
R	R,M,S	+	?
R	R,M,S	<	1
M	R,M,S	+	?
M	M,S	<	1
S	R,M,S	+	?
S	S	<	1
U	U,W,I,D	+	?
U	U,W,I,D	<	1
W	U,W,I,D	+	?
W	U,W,I,D	<	1
I	U,W,I,D	+	?
D	U,W,I,D	<	1
D	D, W	+	?
E	E,F	+	?
E	E,F	<	1


FEATURES:			
NAME	TYPE		
TopDia	REAL		
XX	REAL		
YY	REAL		
ZZ	REAL		
d98	REAL		
Nli98	INT		
x98	REAL		
y98	REAL		
z98	REAL		
d97	REAL		
rem	ALPHA		
Nli97	INT
x97	REAL
y97	REAL
z97	REAL
Nfruit	REAL
MS	REAL
fermete	REAL
IR	REAL
diam	REAL
hauteur	REAL
color	REAL
codeami	REAL
Poids	REAL
Densite	REAL
Hertz	REAL
Elson	REAL
lin	INT																																		

MTG:																																			
ENTITY-CODE								TopDia	XX	YY	ZZ	d98	Nli98	x98	y98	z98	d97	rem	Nli97	x97	y97	z97	Nfruit	MS	fermete	IR	diam	hauteur	color	codeami	Poids	Densite	Hertz	Elson	lin
			+R1/I97/E1										74																						110
				+S1/D97/E1									75						29	-36.27	-58.27	-93.24													111
				^<I98/E1+D98/E1									76	112.92	-42.11	-89.43																			112
				^<I99/E1+D99/E1					19.94	-1	-90.67																								113
			^<E2										77																						114
				+D97/E1									78						30	-36.78	-57.66	-95.11													115
				^<U98/E1<<E5				55	18.28	-3.12	-93.19	5.9	79	111.58	-43.35	-92.45																			116
				^<E6<<E8																															117
					+S1/I99/E1+D99/E1				19.31	-7.66	-95.64																								118
				^<E9																															119
					+S1/I99/E1+D99/E1				21.07	-9.92	-95.41																								120
				^<E10								3.9	80	102.11	-44.07	-98.42																			121
				^<E11																															122
					+S1/I99/E1+D99/E1				18.11	-14.21	-97.58																								123
				^<E12																															124
					+S1/I99/E1+D99/E1				18.55	-18.67	-96.44																								125
				^<E13																															126
					+S1/I99/E1+D99/E1				17.46	-21.11	-98.58																								127
				^<E14																															128
					+S1/I99/E1+D99/E1				19.67	-23.88	-98.96																								129
				^<E15				44	17.25	-24.53	-98.04	3.3	81	93.24	-47.25	-106.94																			130
					+S1/I99/E1+D99/E1				18.2	-26.41	-96.97																								131
				^<E16																															132
					+S1/I99/E1				17.29	-28.25	-99.31																								133
						+S1/D99/E1																													134
					^<E2																														135
						+S1/D99/E1			17.24	-28.08	-99.33																								136
				^<E17																															137
					+S1/I99/E1+D99/E1				15.79	-29.77	-97.16																								138
				^<E18<E19									82	89.09	-47.96	-111																			139
				^<I99/E1					17.72	-30.47	-97.61																								140
					+M1/W99/E1<<E5				16.21	-32.94	-98.33																								141
				^<F5																															142
		^<E24											83																						143
			+S1/I97/E1+D97/E1										84						31	-33.58	-59.97	-91.45													144
			^<I98/E1+D98/E1										85	116.97	-45.38	-88.51																			145
			^<I99/E1+D99/E1						16.45	4.42	-89.2																								146
		^<E25						81	16.47	0.43	-92.33	8.9	86	115.25	-45.46	-89.01	77		32	-35.21	-60.38	-91.98													147
			+S1/I97/E1+D97/E1										87						33	-36.36	-62.54	-91.97													148
			^<I98/E1										88	112.66	-48.23	-89.24																			149
				+D98/E1									89	112.16	-48.14	-89.36																			150
				^<I99/E1+D99/E1					13.18	-1.57	-90.65																								151
			^<F5										90																						152
		^<E26											91																						153
			+S1/I97/E1+D97/E1										92						34	-37.8	-61.41	-88.31													154
			^<I98/E1+D98/E1										93	114.18	-45.5	-84.31																			155
			^<I99/E1+D99/E1						16.03	-0.37	-84.2																								156
		^<E27<E28											94																						157
			+S1/I97/E1+D97/E1										95						35	-39.11	-64.53	-87.11													158
			^<I98/E1+D98/E1										96	111.79	-50.04	-83.69																			159
			^<I99/E1						11.67	-1.8	-85.04																								160
				+S1/D99/E1					13.03	-1.81	-84.96																								161
			^<F6																																162
		^<E29<E30										8.5	97	113.41	-48.33	-80.58	75		36	-38.5	-65.44	-83.84													163
		^<E31											98																						164
			+S1/I97/E1+D97/E1										99						37	-40.76	-64.74	-83.5													165
			^<I98/E1+D98/E1										100	112.33	-47.72	-78.28																			166
			^<I99/E1+D99/E1						12.68	-0.12	-78.79																								167
		^<E32<E33											101																						168
			+S1/I97/E1+D97/E1										102						38	-41.03	-68.09	-83.08													169
			^<I98/E1+D98/E1										103	110.85	-51.33	-78.11																			170
			^<D99/E1						7.87	-3.19	-79.68																								171
		^<E34											104																						172
			+S1/I97/E1+D97/E1										105						39	-42.07	-64.82	-80.11													173
			^<I98/E1+D98/E1										106	113.85	-47.77	-75.09																			174
			^<I99/E1+D99/E1						13.24	0.5	-76.58																								175
		^<E35						75	9.55	1.07	-78	8.9	107	112.37	-49.38	-75.23	80		40	-40.34	-66.94	-80.08													176
			+S1/I97/E1										108						41	-39.43	-66.76	-76.65													177
				+S1/D97/E1									109																						178
				^<W98/E1<<E5				22	9.48	2.76	-73.24	3.4	110	114.19	-49.45	-71.4																			179
				^<E6<<E8																															180
					+S1/I99/E1+D99/E1				8.3	6.36	-67.96																								181
				^<E9																															182
					+S1/I99/E1+D99/E1				10.67	6.09	-65.4																								183
				^<E10<E11									111	119.31	-48.35	-63.83																			184
				^<I99/E1																															185
					+S1/D99/E1				9.81	7.86	-64.18																								186
				^<E2																															187
					+S1/D99/E1				9.09	6.45	-63.15																								188
			^<F1										112										1	14.8	9	12.8	85.4	70.6	80	5	267.16	0.8845479	916	3.341	189
		^<E36											113																						190
			+S1/I97/E1+D97/E1										114						42	-42.25	-69.02	-79.36													191
			^<I98/E1+D98/E1										115	111.3	-52.84	-73.5																			192
			^<I99/E1						5.92	-1.78	-73.89																								193
				+S1/D99/E1					6.42	-1.76	-74.38																								194
			^<F7																																195
		^<E37											116																						196
			+S1/I97/E1+D97/E1										117						43	-41.76	-66.7	-76.04													197
			^<I98/E1+D98/E1										118	114.37	-50.56	-71.97																			198
			^<I99/E1+D99/E1						8.69	3.39	-72.05																								199
		^<E38											119																						200
			+S1/I97/E1+D97/E1										120						44	-40.47	-69.84	-77.66													201
			^<I98/E1+D98/E1										121	114.99	-55.49	-72.89																			202
		^<E39											122																						203
			+M1/W97/E1<<E6										123						45	-43.94	-67.99	-78.83													204
			^<I98/E1									8.2	125	112.82	-52.22	-70.39																			205
		^<I97/E1											124				74		46	-43.63	-69.36	-76.79													206
			+U97/E1<<E3										126																						207
				+S1/D98/E1									127																						208
				^<I99/E1+D99/E1					7.09	-0.58	-70.62																								209
			^<E4<E5					48	6.92	-0.23	-66.11	5.3	128	112.93	-51.9	-65.69	46		47	-45.23	-69.53	-74.42													210
			^<E6										129																						211
				+S1/D98/E1									130	111.1	-52.41	-63.33																			212
				^<I99/E1+D99/E1					5.64	-1.52	-64.66																								213
			^<E7<E8										131																						214
				+S1/I98/E1+D98/E1									132	110.99	-51.22	-58.29																			215
					+S1/D99/E1				7.12	-3.04	-60.74																								216
				^<I99/E1+D99/E1					7.31	-4.07	-59.98																								217
			^<E9										133																						218
				+S1/I98/E1									134	110.82	-52.41	-56.52																			219
					+D99/E1				3.04	-3.3	-58.77																								220
				^<F6									135																						221
			^<E10									4.4	136	110.62	-51.19	-56.44			48	-53.49	-72.27	-70.45													222
				+S1/I98/E1+D98/E1									137	110.02	-50.05	-55.59																			223
			^<E11										138																						224
				+S1/I98/E1									139	109.39	-51.79	-52.78																			225
					+D98/E1								140	109.89	-50.11	-52.64																			226
					^<I99/E1+D99/E1				7.22	-3.7	-53.62																								227
				^<F7									141																						228
			^<E12										142																						229
				+S1/I98/E1									143	110.2	-52.39	-50.54																			230
					+D98/E1								144	114.03	-50.41	-49.35																			231
					^<D99/E1				3.66	-2.28	-51.98																								232
				^<F8									145																						233
			^<E13										146																						234
				+S1/D98/E1									147	-51.65	-105.27	-67.94																			235
				^<I99/E1+D99/E1					7.24	-4.15	-53.05																								236
			^<E14<E15										148				58																		237
