#Pommier Melgueil Braeburn 64				
CODE :	FORM-A			
CLASSES:				
SYMBOL	SCALE	DECOMPOSITION	INDEXATION	DEFINITION
$ 	0	FREE	FREE	IMPLICIT
P	1	FREE	FREE	EXPLICIT
R	2	PURELINEAR	FREE	IMPLICIT
M	2	PURELINEAR	FREE	IMPLICIT
S	2	PURELINEAR	FREE	IMPLICIT
I	3	FREE	FREE	EXPLICIT
U 	3	FREE	FREE	EXPLICIT
W	3	FREE	FREE	EXPLICIT
D 	3	FREE	FREE	EXPLICIT
E	4	FREE	FREE	EXPLICIT
F	4	FREE	FREE	EXPLICIT

DESCRIPTION :			
LEFT	RIGHT	RELTYPE	MAX
R	R,M,S	+	?
R	R,M,S	<	1
M	R,M,S	+	?
M	M,S	<	1
S	R,M,S	+	?
S	S	<	1
U	U,W,I,D	+	?
U	U,W,I,D	<	1
W	U,W,I,D	+	?
W	U,W,I,D	<	1
I	U,W,I,D	+	?
D	U,W,I,D	<	1
D	D, W	+	?
E	E,F	+	?
E	E,F	<	1


FEATURES:			
NAME	TYPE		
TopDia	REAL		
XX	REAL		
YY	REAL		
ZZ	REAL		
d98	REAL		
Nli98	INT		
x98	REAL		
y98	REAL		
z98	REAL		
d97	REAL		
rem	ALPHA		
Nli97	INT
x97	REAL
y97	REAL
z97	REAL
Nfruit	REAL
MS	REAL
fermete	REAL
IR	REAL
diam	REAL
hauteur	REAL
color	REAL
codeami	REAL
Poids	REAL
Densite	REAL
Hertz	REAL
Elson	REAL
lin	INT																																		

MTG:																																			
ENTITY-CODE								TopDia	XX	YY	ZZ	d98	Nli98	x98	y98	z98	d97	rem	Nli97	x97	y97	z97	Nfruit	MS	fermete	IR	diam	hauteur	color	codeami	Poids	Densite	Hertz	Elson	lin
	^<E37												2190																						3574
		+S1/I96/E1+D96/E1<I97/E1+D97/E1											2191						625	-66.07	15.25	-87.55													3575
		^<I98/E1+D98/E1											2192	83.96	23.43	-89.66																			3576
		^<I99/E1+D99/E1							34.54	26.7	-88.47																								3577
	^<E38												2193																						3578
		+S1/I96/E1+D96/E1<I97/E1											2194																						3579
			+S1/D97/E1										2195						626	-68.01	9.65	-83.62													3580
			^<I98/E1+D98/E1										2196	82.36	15.72	-87.42																			3581
			^<I99/E1+D99/E1						34.26	17.91	-87.56																								3582
		^<E2											2197																						3583
			+D97/E1										2198						627	-67.48	9.17	-85.25													3584
			^<I98/E1+D98/E1										2199	80.17	16.4	-85.03																			3585
			^<I99/E1+D99/E1						32.86	18.92	-85.01																								3586
	^<E39<E40											16.7	2200	82.73	21.57	-87.22	143		628	-67.27	13.69	-85.19													3587
		+S1/I96/E1+D96/E1<I97/E1											2201																						3588
			+S1/D97/E1										2202						629	-65.69	12.98	-81.44													3589
			^<I98/E1+D98/E1										2203	85.21	20.45	-83.21																			3590
		^<E2											2204																						3591
			+D97/E1										2205						630	-64.94	11.06	-81.75													3592
			^<I98/E1+D98/E1										2206	86.27	17.98	-84.54																			3593
			^<I99/E1+D99/E1						38.49	20.27	-83.89																								3594
	^<E41												2207																						3595
		+S1/I96/E1+D96/E1<I97/E1											2208																						3596
			+S1/D97/E1										2209						631	-70.7	7.19	-81.73													3597
			^<I98/E1+D98/E1										2210	79.47	15.77	-81.7																			3598
			^<I99/E1+D99/E1						33.61	17.24	-79.77																								3599
		^<E2											2211																						3600
			+D97/E1										2212						632	-71.25	8	-80.42													3601
			^<I98/E1+D98/E1										2213	78.23	14.02	-84.54																			3602
			^<I99/E1						31.7	15.91	-81.02																								3603
				+S1/D99/E1					31.63	16.44	-80.9																								3604
			^<E2																																3605
				+S1/D99/E1					31.44	14.76	-82.42																								3606
			^<F119																																3607
	^<E42												2214																						3608
		+M1/W96/E1<<E5						84	32.74	25.51	-82.09	11.4	2215	82.03	23.12	-83.13	72		633	-68.97	15.41	-81.01													3609
		^<E6<<E10										9.8	2216	82.01	26.16	-81.78	76		634	-69.97	19.79	-80.75													3610
		^<E11<<E15										11.4	2217	82.32	28.95	-79.64	84		635	-70.77	21.69	-82.41													3611
		^<I97/E1							30.35	32.82	-78.93	13.8	2218	81.7	30.14	-77.43	102		636	-72.04	24.86	-82.58													3612
			+R1/U97/E1<<E5					55	27.87	34.23	-73.1	8.6	2219	80.09	29.2	-71.08	58		637	-74.68	27.03	-80.68													3613
			^<E6<<E8										2220																						3614
				+S1/I98/E1+D98/E1									2221	80.37	33.06	-60.71																			3615
				^<I99/E1+D99/E1					25.51	38.77	-64.22																								3616
			^<E9<E10									7.3	2222	80.18	28.48	-58.07			638	-82.47	38.98	-78.3													3617
				+S1/I98/E1									2223	79.64	28	-55.73																			3618
					+D98/E1								2224	81.17	29.27	-55.83																			3619
					^<I99/E1+D99/E1				27.42	38.84	-58.7																								3620
				^<F140									2225																						3621
			^<E11										2226																						3622
				+S1/I98/E1									2227	78.13	28.57	-52.97																			3623
					+D98/E1								2228	78.13	30.96	-53.17																			3624
					^<I99/E1				24.99	40.37	-55.36																								3625
						+S1/D99/E1			24.61	40.36	-56.3																								3626
					^<F120																														3627
				^<F141									2229																						3628
			^<E12										2230																						3629
				+S1/I98/E1+D98/E1									2231	77.78	29.88	-50.96																			3630
			^<E13										2232																						3631
				+S1/I98/E1									2233	80.26	30.73	-47.74																			3632
					+D98/E1								2234	82.39	31.37	-47.62																			3633
					^<I99/E1+D99/E1				27.12	42.31	-52.21																								3634
				^<F142									2235																						3635
			^<E14										2236																						3636
				+S1/I98/E1+D98/E1									2237	79.34	29.79	-45.16																			3637
				^<I99/E1+D99/E1					23.45	40.58	-48.68																								3638
			^<E15					41	25.16	40.75	-48.73		2238				33																		3639
				+S1/I98/E1+D98/E1																															3640
				^<I99/E1					27.33	40.79	-44.12																								3641
					+S1/D99/E1				25.39	39.6	-44.29																								3642
				^<F121																															3643
			^<E16<<E18									6.5	2239	80.4	30.42	-47.37			639	-89.07	49.32	-79.82													3644
			^<I98/E1																																3645
				+S1/D98/E1									2240	81.19	28.37	-43.58																			
			^<E2										2241	78.57	30.45	-40.29																			3646
				+W98/E1<<E5				33	22.46	44.72	-42.24	5.5	2242	79.21	31.35	-38.95																			3647
				^<E6<<E10									2243	80.15	34.34	-31.2																			3648
				^<I99/E1+D99/E1					15.15	47.5	-36.88																								3649
		^<E2											2244																						3650
			+R1/U97/E1<<E3																																3651
				+S1/D99/E1					29.36	33.47	-81.14																								3652
			^<E4<E5					57	29	35.6	-78.82	7.6	2245	80.64	33.29	-76.56	53		640	-73.41	26.07	-85.7													3653
			^<E6<<E10									7.5	2246	80.92	35.66	-67.27			641	-77.38	31.62	-91.77													3654
			^<E11<E12										2247																						3655
				+S1/I98/E1+D98/E1									2248	80.57	35.57	-63.1																			3656
			^<E13										2249																						3657
				+S1/I98/E1+D98/E1									2250	82.17	37.39	-60.7																			3658
				^<D99/E1					33.17	34.48	-63.46																								3659
			^<E14										2251																						3660
				+S1/I98/E1+D98/E1									2252	79.55	35.82	-59.09																			3661
				^<I99/E1+D99/E1					30.31	33.97	-62.11																								3662
			^<E15					52	30.77	33.11	-61	7.3	2253	80.76	36.97	-57.97	35		642	-82.94	36.56	-98.08													3663
				+S1/I98/E1									2254	81.35	36.49	-55.73																			3664
					+D98/E1								2255	82.32	36.1	-55.61																			3665
					^<I99/E1+D99/E1				31.27	31.16	-58.78																								3666
				^<F136									2256																						3667
			^<E16										2257																						3668
				+S1/I98/E1									2258	81.34	40.01	-54.14																			3669
					+D98/E1								2259	80.53	39.09	-54.02																			3670
					^<D99/E1				31.67	34.45	-56.65																								3671
				^<F137									2260																						3672
			^<E17										2261																						3673
				+S1/I98/E1									2262	76.67	36.13	-51.09																			3674
					+D98/E1								2263	78.03	37.84	-51.97																			3675
					^<I99/E1+D99/E1				29.95	30.7	-55.69																								3676
				^<F138									2264																						3677
			^<E18										2265																						3678
				+S1/I98/E1									2266	77.1	37.35	-50.43																			3679
					+D98/E1								2267	78.58	37.32	-50.52																			3680
					^<I99/E1				30.67	30.6	-52.56																								3681
						+S1/D99/E1			32.79	30.6	-53.77																								3682
					^<F122																														3683
				^<F139									2268																						3684
			^<E19<<E21										2269						643	-88.49	39.95	-102.71													3685
			^<I98/E1										2270	78.93	39.06	-47.92																			3686
				+W98/E1<<E6									2271	77.46	40.39	-44.67																			3687
				^<I99/E1																															3688
					+S1/D99/E1				28.28	30.3	-48.07																								3689
				^<E2																															3690
					+S1/D99/E1				28.12	29.7	-48.24																								3691
		^<F35											2272																						3692
	^<E43												2273																						3693
		+S1/I97/E1+D97/E1											2274						644	-66.84	13.08	-77.86													3694
	^<E44												2275																						3695
		+M1/I96/E1											2276				51																		3696
			+M1/W96/E1<<E5					49	30.28	20.76	-78.43	7	2277	79.54	22.84	-78.86			645	-72.82	13.88	-77.58													3697
			^<E6<<E10									8	2278	77.82	22.79	-78.01	57		646	-74.57	14.1	-77.6													3698
			^<I97/E1									9.7	2279	76.32	23.18	-75.7	68		647	-77.24	15.11	-77.77													3699
				+M1/W97/E1<<E5				51	26.75	21.2	-73.73	6.6	2280	77.25	27.98	-75.23	37		648	-78.88	13.64	-76.38													3700
				^<E6<<E10								6.9	2281	74.15	24.25	-68.48			649	-84.8	15.75	-76.33													3701
					+S1/I98/E1+D98/E1								2282	74.53	22.62	-68.01																			3702
					^<I99/E1				27.29	20.22	-66.82																								3703
						+S1/D99/E1			26.57	20.11	-66.94																								3704
					^<F135																														3705
				^<E11									2283																						3706
					+S1/I98/E1+D98/E1								2284	73.62	24.13	-65.81																			3707
				^<E12									2285																						3708
					+S1/I98/E1								2286	71.59	24.27	-66.47																			3709
				^<E13<<E15									2287	70.76	24.71	-62.53	44		650	-89.76	15.84	-78.29													3710
				^<I98/E1					23.94	22.22	-61.09		2288	69.89	25.99	-63.19																			3711
					+W98/E1<<E8								2289	73.86	22.45	-59.46																			3712
					^<I99/E1				23.59	20.49	-58.05																								3713
						+S1/D99/E1			23.58	19.39	-58.48																								3714
					^<F136																														3715
				^<E2									2290																						3716
					+S1/D98/E1								2291	73.53	24.68	-60.5																			3717
					^<I99/E1+D99/E1				24.57	23.14	-59.62																								3718
				^<F145									2292																						3719
		^<E2											2293																						3720
			+D96/E1<I97/E1										2294						651	-70	10.26	-74.83													3721
				+S1/D97/E1									2295																						3722
				^<I98/E1+D98/E1									2296	83.9	18.03	-75.75																			3723
				^<D99/E1					34.69	19.15	-76.5																								3724
			^<E2										2297																						3725
				+S1/D97/E1									2298						652	-70.53	11.66	-73.19													3726
				^<I98/E1									2299	82.56	20.33	-73.55																			3727
					+S1/D99/E1				34.15	21.03	-74.54																								3728
				^<F144									2300																						3729
			^<F32										2301										32	15.3	7.7	14.4	91.9	77.04	70	7.5	332.95	0.872602	847	3.2932	3730
	^<E45							126	32.36	22.44	-77.42	15.2	2302	81.32	22.28	-78.27			653	-69.78	14.62	-76.6													3731
		+S1/I96/E1+D96/E1<I97/E1+D97/E1											2303						654	-70.86	17.46	-73.74													3732
		^<I98/E1											2304	82.44	25.12	-73.72																			3733
			+D98/E1										2305	83.08	24.8	-74.65																			3734
			^<D99/E1						33.41	25.44	-73.35																								3735
		^<F143											2306																						3736
	^<E46												2307																						3737
		+M1/I96/E1+D96/E1<I97/E1+W97/E1<<E6											2308						655	-75.2	12.15	-67.17													3738
		^<I98/E1+D98/E1											2309	76.72	18.92	-67.74																			3739
		^<I99/E1+D99/E1							28.88	14.56	-67.31																								3740
	^<E47												2310																						3741
		+R1/I96/E1+U96											2311																						3742
			/E1<<E5					71	28.96	23.51	-70.09	9.9	2312	76.04	21.09	-72.29	74		656	-74.55	16.63	-70.74													3743
			^<E6<<E10									9.1	2313	72.8	23.45	-70.36	66		657	-78.59	19.07	-70.06													3744
			^<E11<<E15					70	23.32	25.2	-64.68	9.2	2314	69.02	24.78	-66.18	65		658	-83.62	20.16	-68.83													3745
			^<E16<E17										2315																						3746
				+S1/I97/E1+D97/E1									2316						659	-83.84	23.17	-64.96													3747
				^<I98/E1+D98/E1									2317	70.09	25.07	-62.28																			3748
				^<I99/E1+D99/E1					23.7	23.83	-59.43																								3749
			^<E18<E19										2318																						3750
				+S1/I97/E1									2319						660	-86.84	21.51	-66.55													3751
			^<E20									9.1	2320	67.68	26.18	-62.96	67		661	-86.84	22.98	-66.89													3752
			^<E21<<E23										2321																						3753
			^<I97/E1						18.72	24.05	-56.6	11.5	2322	65.81	26.77	-58.28	98		662	-90.52	25.24	-64.68													3754
				+R1/U97/E1<<E5				66	20.61	21.41	-51.76	8.3	2323	64.67	26.9	-53.18	54		663	-93.66	24.15	-58.43													3755
				^<E6<<E8									2324																						3756
					+S1/I98/E1+D98/E1								2325	64.4	23.89	-45.79																			3757
					^<I99/E1+D99/E1				19.39	18.19	-43.3																								3758
				^<E9									2326																						3759
					+S1/I98/E1+D98/E1								2327	64.42	22.69	-44.25																			3760
					^<I99/E1+D99/E1				22.27	17.61	-42.19																								3761
				^<E10								7.9	2328	64.02	26.1	-43.63			664	-101.16	27.05	-50.2													3762
					+S1/I98/E1								2329	64.56	27.23	-39.69																			3763
						+D98/E1							2330	63.75	25.93	-39.93																			3764
						^<I99/E1+D99/E1			22.51	20.67	-38.24																								3765
					^<F150								2331																						3766
				^<E11									2332																						3767
					+S1/I98/E1+D98/E1								2333	61.61	27.05	-38.69																			3768
					^<I99/E1				20.59	16.77	-36.4																								3769
						+S1/D99/E1			21.87	19.09	-35.28																								3770
					^<F137																														3771
				^<E12									2334																						3772
					+S1/I98/E1+D98/E1								2335	62.45	27.66	-35.48																			3773
					^<I99/E1+D99/E1				24.29	20.71	-32.31																								3774
				^<E13									2336																						3775
					+S1/I98/E1+D98/E1								2337	63.83	34.25	-32.97																			3776
					^<I99/E1+D99/E1				20.4	23.34	-30.88																								3777
				^<E14									2338																						3778
					+S1/I98/E1+D98/E1								2339	62.6	30.1	-29.67																			3779
				^<E15				46	22.08	20.32	-28.42	7.3	2340	62.45	27.07	-30.43	50		665	-109.82	32.82	-44.73													3780
				^<E16									2341																						3781
					+S1/I98/E1+D98/E1								2342	57.78	27.06	-27.72																			3782
					^<I99/E1+D99/E1				18.88	19.42	-23.69																								3783
				^<E17									2343																						3784
					+S1/I98/E1+D98/E1								2344	58.54	25.69	-24.93																			3785
					^<I99/E1+D99/E1				21.63	21.67	-22.7																								3786
				^<E18									2345																						3787
					+S1/I98/E1+D98/E1								2346	59.33	29.11	-26.83																			3788
					^<I99/E1				22.49	17.21	-21.27																								3789
						+S1/D99/E1			23.53	17.43	-22.24																								3790
					^<F138																														3791
				^<E19									2347						666	-112.91	34.77	-44.37													3792
				^<I98/E1									2348	62.7	27.1	-22.53																			3793
					+W98/E1<<E5			36	22.66	23.75	-19.58	5.6	2349	58.89	30.73	-23.8																			3794
					^<E6<<E8																														3795
						+S1/I99/E1+D99/E1			23.26	21.23	-14.23																								3796
					^<E9																														3797
						+S1/I99/E1+D99/E1			19.8	23.13	-12.4																								3798
					^<E10<<E12								2350	53.08	36.72	-18.23																			3799
					^<I99/E1				21.85	21.53	-10.05																								3800
						+S1/D99/E1			22.18	20.8	-9.98																								3801
					^<F139																														3802
				^<F151									2351																						3803
	^<E48<<E50											11.2	2352	78.33	19.44	-70.88	103		667	-71.97	10.62	-71.7													3804
	^<E51<<E53												2353																						3805
		<I96/E1+U96											2354																						3806
			/E1<<E5					107	32.13	19.75	-65.35	9.9	2355	76.93	20.51	-66.52	93		668	-73.13	15.92	-64.91													3807
			^<E6<<E8										2356																						3808
				+S1/I97/E1+D97/E1									2357						669	-76.23	12.86	-60.37													3809
				^<I98/E1									2358	75.19	16.99	-61.03																			3810
					+D98/E1								2359	73.9	18.86	-59.72																			3811
					^<D99/E1				29.98	15.79	-60.33																								3812
				^<F146									2360																						3813
			^<E9										2361																						3814
				+S1/I97/E1+D97/E1					25.76	16.51	-59.53		2362						670	-81.49	12.63	-61.08													3815
				^<I98/E1					23.21	15.83	-60.09		2363	68.32	16.89	-61.81																			3816
					+W98/E1<<E5			44	20.46	15.43	-59.07	3.4	2364	67.25	18.47	-63.4																			3817
						+S1/I99/E1+D99/E1			20.54	14.46	-58.63																								3818
					^<E6<<E11								2365	61.57	16.72	-66.14																			3819
					^<I99/E1				18.25	13.01	-54.55																								3820
						+S1/D99/E1			18.51	14.6	-53.85																								3821
					^<E2																														3822
						+S1/D99/E1			18.41	13.47	-54.46																								3823
					^<F141																														3824
				^<F37									2367										37	15.7	8.8	13.5	85.2	66	85	9	243.15	0.8761531	930	3.2241	3826
			^<E10									8.8	2368	72.47	16.08	-59.89	87		671	-78.58	13.08	-58.51													3827
				+S1/I97/E1+D97/E1									2369						672	-77.02	12.12	-56.01													3828
				^<D99/E1					29.02	15.24	-56.81																								3829
			^<E11										2370																						3830
				+S1/I97/E1+D97/E1									2371						673	-81.58	10.93	-54.26													3831
				^<I98/E1+D98/E1									2372	69.32	13.85	-56.73																			3832
				^<I99/E1+D99/E1					24.25	12.68	-55.42																								3833
			^<E12										2373																						3834
				+S1/I97/E1+D97/E1									2374						674	-80.34	13.74	-51.44													3835
				^<I98/E1+D98/E1									2375	69.97	16.76	-52.79																			3836
				^<I99/E1					26.17	14.33	-50.36																								3837
					+S1/D99/E1				26.7	15.18	-50.03																								3838
				^<F141																															3839
			^<E13										2376																						3840
				+S1/I97/E1+D97/E1									2377						675	-79.7	9.95	-50.41													3841
				^<I98/E1+D98/E1									2378	70.8	13.86	-53.11																			3842
				^<I99/E1+D99/E1					27.97	10.84	-51.84																								3843
			^<E14										2379																						3844
				+S1/I97/E1									2380						676	-82.21	12.59	-47.87													3845
					+S1/D97/E1								2382																						3847
					^<I98/E1+D98/E1								2381	66.41	16.13	-50.04																			3846
					^<I99/E1				21.24	12.93	-46.68																								3848
						+S1/D99/E1			21.22	13.69	-46.65																								3849
					^<F142																														3850
				^<F38									2383										38	15.7	8.8	14.3	85.6	61.1	95	8	225.78	0.8726135	958	3.2518	3851
			^<E15					84	27.29	12.91	-47.69	8.3	2384	70.51	14.7	-49.55	84		677	-80.59	11.54	-47.13													3852
				+S1/I97/E1+D97/E1									2385						678	-79.37	12.06	-45.27													3853
			^<E16										2386																						3854
				+S1/I97/E1+D97/E1									2387						679	-80.16	9.15	-43.36													3855
				^<I98/E1+D98/E1									2388	70.83	10.43	-45.46																			3856
				^<I99/E1																															3857
					+S1/D99/E1				28.22	7.38	-45.16																								3858
				^<E2																															3859
					+S1/D99/E1				28.55	6.82	-44.55																								3860
			^<E17<E18										2389																						3861
				+S1/I97/E1+D97/E1									2390						680	-78.88	10.86	-37.07													3862
				^<I98/E1+D98/E1									2391	72.01	11.62	-39.24																			3863
				^<I99/E1+D99/E1					30.53	7.8	-38.5																								3864
			^<E19										2392																						3865
				+S1/I97/E1+D97/E1									2393						681	-81.53	12.1	-34.76													3866
				^<I98/E1+D98/E1									2394	67.89	12.49	-35.23																			3867
				^<I99/E1					25.98	10.14	-33.14																								3868
					+S1/D99/E1				24.67	8.89	-34.45																								3869
				^<F143																															3870
			^<E20									8.6	2395	71.2	13.01	-37.5	73		682	-79.02	11.09	-35.09													3871
				+S1/I97/E1+D97/E1									2396						683	-78.2	14.14	-34.06													3872
				^<I98/E1									2397	72.52	15.22	-35.17																			3873
					+D98/E1								2398	72.48	16.28	-35.61																			3874
					^<D99/E1				29.96	13.01	-35.47																								3875
				^<F147									2399																						3876
			^<E21										2400																						3877
				+S1/I97/E1+D97/E1									2401						684	-78.63	8.33	-28.1													3878
				^<I98/E1									2402	69.96	13.53	-29.96																			3879
					+W98/E1<<E5			32	29.87	6.15	-28.83	5.9	2403	71.09	9.86	-30.78																			3880
					^<E6<E7																														3881
						+S1/I99/E1			29.01	3.43	-24.79																								3882
					^<E8																														3883
						+S1/I99/E1			29.91	1.96	-23.36																								3884
					^<E9																														3885
						+S1/I99/E1			29.29	-0.17	-23.02																								3886
							+D99/E1		29.59	-0.81	-20.42																								3887
					^<E10							3.1	2404	66.99	1.55	-29.07																			3888
						+S1/I99/E1			28.99	0.6	-20.44																								3889
						^<F144																													3890
					^<E11<<E13								2405	65.78	-1.35	-28.04																			3891
					^<W99/E1<<E8				28.22	-5.19	-19.87																								3892
			^<E23										2406																						3893
				+S1/I97/E1+D97/E1									2407						685	-74.2	10.75	-30.06													3894
				^<I98/E1									2408	76.56	12.49	-31.14																			3895
					+S1/D98/E1								2409	75.4	12.59	-31.66																			3896
				^<E2																															3897
					+W98/E1<<E8								2410	78.48	10.87	-29.25																			3898
					^<I99/E1																														3899
						+S1/D99/E1			38.15	9.89	-28.6																								3900
					^<E2																														3901
						+D99/E1			38.24	8.44	-29.89																								3902
			^<E24<E25					69	31.96	12.68	-29.04		2411				77																		3903
			^<W96/E1<<E5					75	32.65	11.58	-27.75	8.2	2412	78.17	12.95	-28.98			686	-77.88	11.19	-27.32													3904
			^<E6<<E8										2413																						3905
				+S1/I97/E1									2414						687	-78.08	11.62	-23.82													3906
			^<E9										2415																						3907
				+S1/I97/E1+D97/E1									2416						688	-79.67	11.97	-24.82													3908
				^<I98/E1									2417	75.78	11.07	-24.99																			3909
					+D98/E1								2418	75.58	10.78	-24.14																			3910
					^<I99/E1+D99/E1				29.19	10.04	-22.05																								3911
				^<F1470									2419																						3912
			^<E10										2420				92		689	-78.67	12.62	-24.58													3913
			^<E11<E12										2421																						3914
			^<I97/E1						31.71	13.31	-21.71	9.4	2422	77.14	13.28	-23.41			690	-79.99	12.48	-21.13													3915
				+U97/E1<<E4									2423	77.12	19	-20.63																			3916
					+S1/I98/E1+D98/E1								2424																						3917
					^<I99/E1+D99/E1				30.86	16.69	-19.2																								3918
				^<E5				50	31.83	15	-18.87	6.3	2425	79.19	16.44	-19.86	59		691	-80.84	14.52	-16.49													3919
				^<E6<<E9									2426																						3920
					+S1/I98/E1+D98/E1								2427	77.3	20.63	-9.8																			3921
					^<I99/E1+D99/E1				28.68	20.66	-9.99																								3922
				^<E10								5.5	2428	77.14	19.5	-9.4			692	-85.25	15.59	-6.48													3923
					+S1/I98/E1+D98/E1								2429	76.09	18.93	-7.54																			3924
					^<I99/E1+D99/E1				27.04	18.82	-7.9																								3925
				^<E11<E12									2430																						3926
					+S1/I98/E1+D98/E1								2431	75.11	20.77	-4.94																			3927
				^<E13									2432																						3928
					+S1/I98/E1+D98/E1								2433	74.29	19.59	-2.96																			3929
					^<I99/E1+D99/E1				24.94	17.91	-2.36																								3930
				^<E14									2434																						3931
					+S1/I98/E1+D98/E1								2435	73.44	19.33	-0.53																			3932
					^<I99/E1+D99/E1				25.34	20.82	0.03																								3933
				^<E15				43	24.62	21.37	-1.3	5.3	2436	71.55	20.51	-0.82	44		693	-91.27	14.26	-0.31													3934
				^<E16<E17									2437																						3935
					+S1/I98/E1+D98/E1								2438	66.31	18.83	1.59																			3936
					^<I99/E1+D99/E1				20.37	23.61	3.55																								3937
				^<E18									2439																						3938
					+M1/W98/E1<<E18								2440	64.55	16.02	-0.37																			3939
					^<I99/E1				17.5	19.85	2.75																								3940
						+S1/D99/E1			16.89	19.01	2.23																								3941
					^<F145																														3942
				^<E19<<E21									2441						694	-96.77	12.13	3.25													3943
				^<I98/E1									2442	63.23	17.06	2.46																			3944
					+M1/W98/E1<<E8								2443	60.6	17.82	0.57																			3945
					^<W99/E1<<E6				12.63	26.67	6.61																								3946
				^<E2									2444																						3947
					+W98/E1<<E8								2445	56.66	14.59	1.37																			3948
					^<I99/E1+D99/E1				12.74	23.6	2.89																								3949
^<E41												40.2	2446	123.96	1.36	-113.57	361		695	-22.94	-5.58	-106.29													3950
^<E42<<E45								403	62.21	5.08	-123.5	39.6	2447	123.31	0.63	-120.65	335		696	-23.16	-6.61	-114.93													3951
^<E46													2448																						3952
	+R1/I95/E1												2449																						3953
		+S1/D95/E1<I96/E1+D96/E1<I97/E1											2450																						3954
			+S1/D97/E1										2451						697	-20.91	-13.45	-115.08													3955
			^<I98/E1+D98/E1										2452	123.95	-6.63	-120.74																			3956
			^<D99/E1						77.17	5.59	-124.39																								3957
		^<E2											2453																						3958
			+D97/E1										2454						698	-22.21	-13.64	-115.74													3959
			^<I98/E1+D98/E1										2455	127.41	-6.62	-120.94																			3960
			^<I99/E1+D99/E1						79.21	8.3	-129.21																								3961
	^<E2												2456				201																		3962
	^+U95/E1<<E5							230	69.89	0.3	-126.01	21.2	2457	127.43	-4	-124.41			699	-19.98	-12.46	-118.21													3963
	^<E6<<E10											18.8	2458	135.85	-9.89	-128.26	185		700	-11.14	-16.1	-122.55													3964
	^<E11<E12												2459																						3965
		+S1/I96/E1+D96/E1<I97/E1+D97/E1											2460						701	-7.48	-19.56	-120.91													3966
		^<I98/E1+D98/E1											2461	139.35	-12.78	-123.82																			3967
		^<I99/E1+D99/E1							80.37	-7.41	-123.72																								3968
	^<E13												2462																						3969
		+S1/D96/E1<I97/E1+D97/E1											2463						702	-5.64	-19.64	-124.99													3970
	^<E14<E15							192	85.35	-9.76	-128.88	18.2	2464	143.71	-15.51	-128.74	173		703	-3.96	-20.1	-124.67													3971
		+R1/I96/E1+U96/E1<<E5						103	82.69	-12.19	-126.36	9.8	2465	142.3	-17.33	-126.41	93		704	-5.14	-22.3	-122													3972
		^<E6<<E10										8.8	2466	134.63	-18.73	-122.36	75		705	-12.25	-25.22	-119.35													3973
		^<E10<E12											2467																						3974
			+S1/I97/E1+D97/E1										2468						706	-17.22	-28.4	-121.13													3975
			^<I98/E1										2469	129.54	-23.34	-118.14																			3976
				+D98/E1									2470	129.22	-24.02	-118.13																			3977
				^<I99/E1+D99/E1					69.12	-19.8	-123.45																								3978
			^<F152										2471																						3979
		^<E13											2472																						3980
			+S1/I97/E1+D97/E1										2473						707	-21.5	-29.39	-118.57													3981
			^<I98/E1										2474	124.65	-22.57	-115.21																			3982
				+D98/E1									2475																						3983
				^<I99/E1																															3984
					+S1/D99/E1				65.73	-13.68	-117.85																								3985
				^<E2																															3986
					+D99/E1				63.69	-18.02	-119.51																								3987
			^<E2										2476																						3988
				+S1/D98/E1									2477																						3989
		^<E14											2478																						3990
			+S1/I97/E1+D97/E1										2479						708	-23.74	-27.62	-121.96													3991
			^<I98/E1+W98/E1<<E6										2480	122.91	-25.82	-121.09																			3992
			^<I99/E1						61.36	-17.72	-116.97																								3993
				+S1/D99/E1					60.48	-18.29	-118.86																								3994
			^<E2																																3995
				+S1/D99/E1					61.33	-16.4	-117																								3996
			^<F147																																3997
		^<E15						87	64.74	-16	-123.66	7.7	2481	123.95	-23	-118	69		709	-22.4	-29.05	-120.92													3998
			+S1/I97/E1										2482																						3999
				+S1/D97/E1									2483						710	-22.42	-30.58	-121.71													4000
			^<E2										2484																						4001
				+D97/E1									2485						711	-23.03	-32.51	-120.11													4002
				^<I98/E1+D98/E1									2486	121.97	-24.5	-113.16																			4003
				^<I99/E1					64.65	-17.78	-127.55																								4004
					+S1/D99/E1				63.74	-16.5	-128.16																								4005
				^<E2																															4006
					+D99/E1				65.01	-18.08	-128.94																								4007
				^<F146																															4008
		^<E16<<E21											2487				84																		4009
		^<I97/E1										9.3	2488	120.28	-25.93	-114.57			712	-25.98	-32.68	-122.04													4010
			+M1/W97/E1<<E4										2489																						4011
				+S1/I98/E1									2490	119.21	-25.62	-111.17																			4012
			^<E5					65	57.26	-17.32	-118.04	6.1	2491	119.83	-25.66	-109.65	50		713	-26.35	-36.86	-121.68													4013
			^<E6										2492																						4014
				+S1/I98/E1+D98/E1									2493	119.1	-27.25	-106.72																			4015
				^<D99/E1					54.52	-18.29	-115.84																								4016
			^<E7<<E9										2494																						4017
				+S1/I98/E1									2495	118.39	-26.45	-101.88																			4018
					+D98/E1								2496	118.13	-26.63	-101.76																			4019
					^<D99/E1				49.85	-16.38	-113.05																								4020
				^<F153									2497																						4021
